t,x,y,i
1,41197,953422.994133508,1
2,41218,946408.960719974,1
3,41237,958620.321990536,1
4,41253,954175.484809115,1
5,41285,951800.638689262,1
6,41292,959087.173014153,1
7,41307,954647.257693151,1
8,41313,958483.240655526,1
9,41342,959580.402948887,1
10,41349,954998.447630073,1
11,41349,950484.766640677,1
12,41349,957328.696211123,1
13,41360,954763.442330191,1
14,41375,955991.303197073,1
15,41388,954836.959365802,1
16,41416,959624.911838016,1
17,41437,951969.499952531,1
18,41444,953778.996675532,1
19,41456,957377.635558969,1
20,41472,960316.76192204,1
21,41489,953065.236719535,1
22,41516,959875.568557366,1
23,41516,961845.299640162,1
24,41525,961082.806843909,1
25,41526,957659.91162059,1
26,41530,960839.293314523,1
27,41535,956404.726740048,1
28,41541,960414.398264394,1
29,41558,960443.876956346,1
30,41579,961398.662632774,1
31,41581,959047.345591214,1
32,41607,965946.408692747,1
33,41612,962158.524351154,1
34,41637,964909.032902193,1
35,41652,961537.015012592,1
36,41681,966688.861762915,1
37,41693,961972.592148373,1
38,41703,963645.34369469,1
39,41723,963451.614990053,1
40,41743,965020.957293689,1
41,41773,970991.808890998,1
42,41781,966207.049411813,1
43,41796,965975.416528587,1
44,41824,969351.797692618,1
45,41824,969545.630308009,1
46,41830,969136.136405889,1
47,41839,965554.101656423,1
48,41860,966436.852811712,1
49,41884,968719.439279778,1
50,41911,969233.958376561,1
51,41922,969561.991126691,1
52,41934,966237.748883903,1
53,41940,968063.012091431,1
54,41964,964972.109421218,1
55,41974,972780.207551491,1
56,41987,969342.839593433,1
57,42013,970406.499324071,1
58,42020,970579.106609692,1
59,42026,977351.894458974,1
60,42058,970093.691998717,1
61,42085,973432.310919109,1
62,42098,974458.467642156,1
63,42108,974614.093734553,1
64,42130,972434.091649311,1
65,42160,975667.668162124,1
66,42183,975903.075527476,1
67,42209,971168.807090066,1
68,42238,978373.820384063,1
69,42248,974957.641680534,1
70,42254,980193.30540285,1
71,42261,975570.495804327,1
72,42261,973185.587174688,1
73,42268,978151.371308624,1
74,42285,975939.939421989,1
75,42285,977113.875249859,1
76,42285,981024.920133079,1
77,42307,980926.799733905,1
78,42323,975496.937342882,1
79,42347,975881.818770068,1
80,42379,977853.014677723,1
81,42399,985191.823055688,1
82,42430,978732.512752374,1
83,42445,980078.43546283,1
84,42463,981557.157952649,1
85,42495,980477.483429537,1
86,42496,983940.64835828,1
87,42511,985578.319457197,1
88,42524,979257.813472684,1
89,42547,984394.501844553,1
90,42570,986135.518316001,1
91,42599,985652.157307772,1
92,42619,986984.914721211,1
93,42652,986521.350484814,1
94,42653,990182.242294437,1
95,42675,983438.16384265,1
96,42686,985279.440722958,1
97,42706,980554.67624709,1
98,42739,992393.920992853,1
99,42765,988740.006864791,1
100,42782,989238.987456647,1
101,42811,989974.265191582,1
102,42817,984187.171687381,1
103,42835,990908.362425743,1
104,42848,984915.265428412,1
105,42868,990158.823194393,1
106,42872,988634.118601155,1
107,42876,992678.287201899,1
108,42902,989374.592440005,1
109,42934,993975.899731375,1
110,42948,995138.878842538,1
111,42959,995900.539511858,1
112,42959,993268.938115414,1
113,42973,994781.837510112,1
114,42994,989343.217744979,1
115,42994,992045.487356605,1
116,43013,991637.878877271,1
117,43028,997855.493483617,1
118,43059,996497.587483954,1
119,43078,995737.816009212,1
120,43111,994640.904911212,1
121,43128,995584.184284167,1
122,43143,1002892.4931963,1
123,43173,996889.185773208,1
124,43180,998080.318571065,1
125,43210,998024.80016803,1
126,43225,997530.501301078,1
127,43233,995704.013151718,1
128,43243,1000130.75180762,1
129,43265,1003411.48617262,1
130,43276,1002519.25294937,1
131,43293,1004230.26247308,1
132,43313,998547.43747323,1
133,43326,1003680.32735996,1
134,43344,997507.226007998,1
135,43349,1003760.63804205,1
136,43349,1004251.41780543,1
137,43362,1004654.4604649,1
138,43380,1000204.72043354,1
139,43401,1007226.16657987,1
140,43434,998332.621556308,1
141,43466,1004517.49319223,1
142,43495,1005642.5248738,1
143,43521,1007376.63766717,1
144,43534,1006180.77015598,1
145,43560,1003919.76386758,1
146,43570,1007400.26296169,1
147,43594,1006243.3645078,1
148,43597,1004636.83882824,1
149,43602,1005570.56969726,1
150,43627,1005809.98587229,1
151,43652,1008754.99455204,1
152,43653,1002642.98215914,1
153,43678,1009279.48503931,1
154,43683,1010783.77983243,1
155,43689,1010666.14499041,1
156,43704,1007201.15273874,1
157,43726,1016479.26866713,1
158,43728,1012868.30306548,1
159,43740,1010348.95872937,1
160,43768,1007834.61611353,1
161,43775,1006037.55832639,1
162,43777,1011705.45178408,1
163,43810,1008102.13331232,1
164,43813,1013770.20843124,1
165,43829,1010337.46095865,1
166,43850,1013313.25851036,1
167,43871,1019273.87628883,1
168,43895,1016767.13146817,1
169,43913,1011108.02680636,1
170,43923,1016784.21171987,1
171,43936,1013330.08448204,1
172,43954,1015294.29808843,1
173,43979,1015479.56899123,1
174,43980,1010884.85612565,1
175,43986,1016476.15608131,1
176,43999,1017072.03585607,1
177,44008,1023199.91573798,1
178,44030,1017156.9516815,1
179,44057,1018648.43671788,1
180,44063,1017987.02953389,1
181,44077,1018654.15291194,1
182,44078,1018234.80587922,1
183,44081,1019841.72824221,1
184,44093,1017100.70474749,1
185,44123,1021083.18785496,1
186,44130,1022271.13739172,1
187,44144,1017657.29407486,1
188,44166,1018919.35550095,1
189,44174,1024113.10084974,1
190,44205,1024595.23411673,1
191,44220,1022281.80783879,1
192,44250,1029547.94813588,1
193,44253,1019600.18232425,1
194,44263,1021769.33613997,1
195,44274,1019774.53375299,1
196,44289,1023198.82934653,1
197,44322,1023948.10039972,1
198,44341,1025699.76987966,1
199,44344,1019779.22089917,1
200,44357,1027573.10082233,1
201,44357,1023630.63729572,1
202,44378,1026926.92142671,1
203,44390,1023022.93246037,1
204,44416,1027698.75333084,1
205,44421,1027399.17661087,1
206,44424,1023580.67694369,1
207,44429,1024114.93054707,1
208,44431,1028578.24330632,1
209,44450,1027702.579117,1
210,44472,1027491.73463735,1
211,44494,1026019.89853838,1
212,44515,1025215.48638234,1
213,44540,1028968.61602621,1
214,44557,1029959.49001557,1
215,44583,1029154.9595926,1
216,44606,1033457.48446418,1
217,44639,1029685.54092839,1
218,44667,1036018.4526357,1
219,44687,1032321.14412308,1
220,44720,1030435.58661586,1
221,44744,1036740.26955574,1
222,44761,1035998.92264237,1
223,44786,1034189.17694072,1
224,44804,1038148.0759254,1
225,44809,1032035.478075,1
226,44814,1037477.82768513,1
